No Nasabah, Nilai Investasi 
743380,20065407091
743420,1759654441
743440,18225374514
743450,0
743520,2156037100
743540,0
743640,0
743740,0
743760,0
743820,20395886598
743870,1018499000
743890,0
743930,0
743970,759243401.7
744090,0
744100,1022747000
744340,1509084465
744360,0
744360,0
744380,978047535.7
744450,0
744490,4221305115
744510,99650000
744560,2230538415
744600,0
744640,0
744670,0
744720,1313661675
744740,0
744780,1738355106
744770,0
744800,0
745080,518191695.2
745100,571426585.5
745140,0
745170,0
745190,0
745250,6210741863
745270,0
745390,0
745390,3266874858
745410,5984915452
745430,1924795846
745450,1116610986
745440,0
745460,0
745480,1046358863
745500,0
745500,0
745520,1067983008
745580,1189553682
745600,66296589.26
745610,1221082252
745640,9193344506
745640,4461016630
745670,0
745740,544999473.7
745850,1005726396
745910,442742.82
745960,0
745980,0
746010,2041580000
746020,1031879000
746070,0
746230,0
746310,0
746320,0
746330,0
746350,0
746370,0
746380,0
746460,419016208.1
746620,5157261334
746620,152774850
746700,3253250000
746750,239323008.3
746760,0
746780,919875558
746800,0
746920,3501623988
746910,0
746940,863569489.2
747050,0
747110,0
747100,0
747170,0
747400,0
747420,2048833000
747580,0
747740,1578523132
747840,1019980000
747970,292146000
748010,956125000
748200,0
748200,1082171794
748380,0
230050,0
320010,0
323300,0
327030,1362683607
746480,0
320030,0
320090,0
320180,0
320230,1621051838
320470,0
320480,0
320510,21086587.27
320540,0
320560,914510229.8
320610,0
320640,0
320770,0
320790,0
320810,0
320830,3199129134
320840,100439469.3
321040,0
321040,0
321130,0
321160,0
321210,768405956.3
321290,0
321320,4874096020
321320,890906676.5
321500,331952300.7
321530,0
321530,0
321530,0
321530,1169850966
321580,2553805418
321640,0
321670,901065353.2
321680,951896199.9
321680,1164742223
321690,1450771067
321720,1628686837
321740,738388221.5
321810,6906285962
321840,1217014528
321860,0
321920,5670855022
321930,0
321950,1170493500
322090,1670484231
322110,864893475.6
322140,995545588.7
322140,0
322170,0
322220,0
322240,7304472736
322290,263960289.3
322300,2017461797
322420,8880550191
322490,996500000
322600,0
322590,0
322630,0
322650,582108676.4
322670,211381971.3
322680,499173131.7
322680,0
322690,1503322019
322730,2307435997
322820,74827873.92
322880,1356450865
322950,506040388.7
323080,0
323130,0
323270,0
323330,1856463574
323420,0
323450,0
323450,2278910974
323480,0
323580,0
323590,3044073000
323620,0
323650,0
323670,1281640000
323670,0
323730,68854358.35
323740,106450241.7
323740,0
323840,0
323880,1169640432
323910,972369214.4
324010,1862425059
324040,568125274
324150,0
324180,51593950
324220,0
324230,0
324260,348569565.3
324280,0
324280,1192948315
324300,0
324400,0
324410,10636969875
324490,1073213427
324520,1010395000
324590,1003191260
324620,1904837943
324650,952170268.6
324650,17973104841
324650,0
324670,305802174.8
324670,0
324950,0
325080,29044351865
325180,881377900
325180,0
325190,124162217.5
325200,3988343064
325240,9139710000
325260,1331440208
325280,1504947500
325300,271371701.1
325300,0
325340,512808369.7
325350,0
325360,0
325390,471130185.6
325490,0
325510,0
325520,0
325540,2836765992
325600,4516707174
325760,2013532192
325770,0
325880,1018750000
